Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
196,34061,species,Cerulean Warbler,Setophaga cerulea,1,Glen Echo Park,US-OH,27 Apr 2024,L1138317,S170601222,,1
197,28037,species,Brown Thrasher,Toxostoma rufum,1,Home,US-OH,24 Apr 2024,L22940035,S170106808,,1
198,34153,species,Pine Warbler,Setophaga pinus,1,Scioto Audubon Metro Park--Lower Scioto Park,US-OH,16 Apr 2024,L353630,S168968736,,1
199,11126,species,Yellow-bellied Sapsucker,Sphyrapicus varius,1,Scioto Audubon Metro Park--Lower Scioto Park,US-OH,16 Apr 2024,L353630,S168968736,,1
200,33848,species,Rusty Blackbird,Euphagus carolinus,36,Pickerington Ponds (Franklin Co.),US-OH,29 Mar 2024,L214134,S166420026,,1
201,501,species,Northern Shoveler,Spatula clypeata,3,Pickerington Ponds (Franklin Co.),US-OH,29 Mar 2024,L214134,S166420026,,1
202,7811,species,Black Vulture,Coragyps atratus,12,O'Shaughnessy Reservoir--Dam,US-OH,19 Jan 2024,L599370,S159290678,,1
203,267,species,Snow Goose,Anser caerulescens,1,Quarry Apartments Lake,US-OH,16 Jan 2024,L2452667,S159083336,,1
204,6231,species,Western Sandpiper,Calidris mauri,1,Clam Pass Park,US-FL,13 Jan 2024,L2399703,S158813902,,1
205,6161,species,Ruddy Turnstone,Arenaria interpres,1,Clam Pass Park,US-FL,13 Jan 2024,L2399703,S158813902,,1
206,6147,species,Willet,Tringa semipalmata,10,Clam Pass Park,US-FL,13 Jan 2024,L2399703,S158813902,,1
207,34171,species,Yellow-throated Warbler,Setophaga dominica,1,Lovers Key SP,US-FL,12 Jan 2024,L160668,S158739458,,1
208,7792,species,Brown Pelican,Pelecanus occidentalis,3,Lovers Key SP,US-FL,12 Jan 2024,L160668,S158739458,,1
209,7462,species,White Ibis,Eudocimus albus,1,Lovers Key SP,US-FL,12 Jan 2024,L160668,S158739458,,1
210,6789,species,Royal Tern,Thalasseus maximus,1,Lovers Key SP,US-FL,12 Jan 2024,L160668,S158739458,,1
211,6731,species,Forster's Tern,Sterna forsteri,2,Lovers Key SP,US-FL,12 Jan 2024,L160668,S158739458,,1
212,6490,species,Laughing Gull,Leucophaeus atricilla,20,Lovers Key SP,US-FL,12 Jan 2024,L160668,S158739458,,1
213,6189,species,Sanderling,Calidris alba,2,Lovers Key SP,US-FL,12 Jan 2024,L160668,S158739458,,1
214,5941,species,Snowy Plover,Anarhynchus nivosus,1,Lovers Key SP,US-FL,12 Jan 2024,L160668,S158739458,,1
215,2243,species,Common Ground Dove,Columbina passerina,2,Lovers Key SP,US-FL,12 Jan 2024,L160668,S158739458,,1
216,33973,species,Orange-crowned Warbler,Leiothlypis celata,1,Corkscrew Regional Ecosystem Watershed--Bird Rookery Swamp Trails,US-FL,11 Jan 2024,L1061691,S158661503,,1
217,5671,species,Limpkin,Aramus guarauna,1,Corkscrew Regional Ecosystem Watershed--Bird Rookery Swamp Trails,US-FL,11 Jan 2024,L1061691,S158661503,,1
218,7367,species,Anhinga,Anhinga anhinga,1,Cypress Woods,US-FL,10 Jan 2024,L28726637,S158587349,,1
219,7306,species,Wood Stork,Mycteria americana,1,Cypress Woods,US-FL,10 Jan 2024,L28726637,S158587349,,1
220,445,species,Muscovy Duck,Cairina moschata,1,Cypress Woods,US-FL,10 Jan 2024,L28726637,S158587349,N,1
221,34159,species,Yellow-rumped Warbler,Setophaga coronata,3,Scioto Audubon Metro Park--Lower Scioto Park,US-OH,29 Oct 2023,L353630,S153350793,,1
222,33124,species,Dark-eyed Junco,Junco hyemalis,6,Scioto Audubon Metro Park--Lower Scioto Park,US-OH,29 Oct 2023,L353630,S153350793,,1
223,8633,species,American Barn Owl,Tyto furcata,4,Pickerington Ponds (Franklin Co.),US-OH,19 Sep 2023,L214134,S150305424,,1
224,7629,species,Little Blue Heron,Egretta caerulea,3,Griggs Reservoir Park--Disc Golf Course,US-OH,19 Aug 2023,L4272507,S147657916,,1
225,6539,species,American Herring Gull,Larus smithsonianus,2,Griggs Reservoir Park--Disc Golf Course,US-OH,19 Aug 2023,L4272507,S147657916,,1
226,7645,species,Snowy Egret,Egretta thula,1,Hilliard Bradley High School Pond,US-OH,13 Aug 2023,L16233781,S147162785,,1
227,6232,species,Semipalmated Sandpiper,Calidris pusilla,8,Hilliard Bradley High School Pond,US-OH,13 Aug 2023,L16233781,S147162785,,1
229,6933,species,Common Loon,Gavia immer,1,Alum Creek SP--Park Office Trails,US-OH,12 Aug 2023,L2788349,S147093480,,1
230,6718,species,Caspian Tern,Hydroprogne caspia,8,Alum Creek SP--Beach and Alum Reservoir South,US-OH,12 Aug 2023,L1335935,S147057751,,1
231,6521,species,Ring-billed Gull,Larus delawarensis,,Alum Creek SP--Beach and Alum Reservoir South,US-OH,12 Aug 2023,L1335935,S147057751,,1
232,12028,species,American Kestrel,Falco sparverius,1,Quarry Trails Metro Park--North Entrance,US-OH,04 Aug 2023,L17012584,S146447612,,1
233,16963,species,Least Flycatcher,Empidonax minimus,1,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,30 Jul 2023,L1129017,S146007304,,1
234,16952,species,Willow Flycatcher,Empidonax traillii,1,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,30 Jul 2023,L1129017,S146007304,,1
235,3238,species,Yellow-billed Cuckoo,Coccyzus americanus,1,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,30 Jul 2023,L1129017,S146007304,,1
237,33002,species,Field Sparrow,Spizella pusilla,1,Quarry Trails Metro Park--North Entrance,US-OH,04 Jul 2023,L17012584,S143576222,,1
238,382,species,Trumpeter Swan,Cygnus buccinator,3,Quarry Trails Metro Park--North Entrance,US-OH,04 Jul 2023,L17012584,S143576222,,1
239,24281,species,Cliff Swallow,Petrochelidon pyrrhonota,23,Scioto Audubon Metro Park,US-OH,30 Jun 2023,L756566,S143190269,,1
240,7600,species,Black-crowned Night Heron,Nycticorax nycticorax,1,Scioto Audubon Metro Park,US-OH,30 Jun 2023,L756566,S143190269,,1
241,3492,species,Common Nighthawk,Chordeiles minor,1,Christy Woods,US-IN,10 Jun 2023,L2519135,S141159944,,1
242,33679,species,Orchard Oriole,Icterus spurius,1,Scioto Audubon Metro Park,US-OH,09 Jun 2023,L756566,S141040551,,1
243,11427,species,Hairy Woodpecker,Leuconotopicus villosus,2,Scioto Audubon Metro Park--Whittier,US-OH,06 Jun 2023,L450283,S140744134,,1
244,29888,species,Cedar Waxwing,Bombycilla cedrorum,2,Scioto Audubon Metro Park--Whittier,US-OH,30 May 2023,L450283,S139953837,,1
245,8487,species,Red-shouldered Hawk,Buteo lineatus,2,Whetstone Park--Columbus Park of Roses,US-OH,28 May 2023,L5156976,S139659857,,1
246,11145,species,Red-headed Woodpecker,Melanerpes erythrocephalus,1,Bischoff Reservoir--Public Access Site,US-IN,27 May 2023,L7216939,S139497087,,1
247,7704,species,Green Heron,Butorides virescens,4,Bischoff Reservoir--Public Access Site,US-IN,27 May 2023,L7216939,S139497087,,1
248,34607,species,Indigo Bunting,Passerina cyanea,1,Rockbridge State Nature Preserve,US-OH,21 May 2023,L513326,S138719880,,1
249,34087,species,Northern Yellow Warbler,Setophaga aestiva,1,Rockbridge State Nature Preserve,US-OH,21 May 2023,L513326,S138719880,,1
250,34028,species,Common Yellowthroat,Geothlypis trichas,1,Rockbridge State Nature Preserve,US-OH,21 May 2023,L513326,S138719880,,1
251,27191,species,Northern House Wren,Troglodytes aedon,1,Rockbridge State Nature Preserve,US-OH,21 May 2023,L513326,S138719880,,1
252,33952,species,Louisiana Waterthrush,Parkesia motacilla,2,Glenlaurel Inn,US-OH,21 May 2023,L24474914,S138697569,,1
253,28333,species,Hermit Thrush,Catharus guttatus,1,Hocking Hills SP--Cantwell Cliffs,US-OH,20 May 2023,L2880512,S138565702,,1
254,16924,species,Eastern Wood-Pewee,Contopus virens,,Hocking Hills SP--Cantwell Cliffs,US-OH,20 May 2023,L2880512,S138565914,,1
255,24187,species,Barn Swallow,Hirundo rustica,4,Lake Logan SP,US-OH,19 May 2023,L285575,S138438846,,1
256,1853,species,Rock Pigeon,Columba livia,16,Hocking Hills SP--Rock House,US-OH,19 May 2023,L2480241,S138427305,N,1
257,17007,species,Eastern Phoebe,Sayornis phoebe,1,Glenlaurel Inn,US-OH,19 May 2023,L24474914,S138403342,,1
258,28347,species,Wood Thrush,Hylocichla mustelina,1,"14940 Mount Olive Road, Rockbridge, Ohio, US (39.519, -82.563)",US-OH,18 May 2023,L24447151,S138314465,,1
259,33568,species,Eastern Meadowlark,Sturnella magna,1,"15690 Mount Olive Road, Rockbridge, Ohio, US (39.508, -82.557)",US-OH,18 May 2023,L24456994,S138314609,,1
260,33972,species,Tennessee Warbler,Leiothlypis peregrina,1,"14940 Mount Olive Road, Rockbridge, Ohio, US (39.519, -82.563)",US-OH,18 May 2023,L24447151,S138266070,,1
261,19267,species,Red-eyed Vireo,Vireo olivaceus,1,"14940 Mount Olive Road, Rockbridge, Ohio, US (39.519, -82.563)",US-OH,18 May 2023,L24447151,S138266070,,1
262,19244,species,Philadelphia Vireo,Vireo philadelphicus,1,"14940 Mount Olive Road, Rockbridge, Ohio, US (39.519, -82.563)",US-OH,18 May 2023,L24447151,S138266070,,1
263,16950,species,Acadian Flycatcher,Empidonax virescens,1,"14940 Mount Olive Road, Rockbridge, Ohio, US (39.519, -82.563)",US-OH,18 May 2023,L24447151,S138266070,,1
264,34141,species,Black-throated Blue Warbler,Setophaga caerulescens,2,Home,US-OH,15 May 2023,L22940035,S137867162,,1
265,34344,species,Canada Warbler,Cardellina canadensis,1,Home,US-OH,14 May 2023,L22940035,S137680294,,1
266,34060,species,Cape May Warbler,Setophaga tigrina,3,Home,US-OH,14 May 2023,L22940035,S137680294,,1
267,28000,species,Gray Catbird,Dumetella carolinensis,1,Home,US-OH,14 May 2023,L22940035,S137680294,,1
268,4802,species,Ruby-throated Hummingbird,Archilochus colubris,1,Home,US-OH,14 May 2023,L22940035,S137680294,,1
269,17472,species,Eastern Kingbird,Tyrannus tyrannus,1,Pickerington Ponds--Wood Duck Picnic Area,US-OH,13 May 2023,L1926131,S137563911,,1
270,6855,species,Pied-billed Grebe,Podilymbus podiceps,1,Pickerington Ponds--Wood Duck Picnic Area,US-OH,13 May 2023,L1926131,S137563911,,1
271,770,species,Red-breasted Merganser,Mergus serrator,2,Pickerington Ponds--Wood Duck Picnic Area,US-OH,13 May 2023,L1926131,S137563911,,1
272,28114,species,Northern Mockingbird,Mimus polyglottos,1,"6600 Bigerton Bend, Canal Winchester, Ohio, US (39.849, -82.825)",US-OH,13 May 2023,L24309622,S137532326,,1
273,34436,species,Scarlet Tanager,Piranga olivacea,1,Scioto Audubon Metro Park--Lower Scioto Park,US-OH,13 May 2023,L353630,S137468761,,1
274,33962,species,Black-and-white Warbler,Mniotilta varia,1,Scioto Audubon Metro Park--Lower Scioto Park,US-OH,13 May 2023,L353630,S137468761,,1
275,33853,species,Common Grackle,Quiscalus quiscula,3,Scioto Audubon Metro Park--Lower Scioto Park,US-OH,13 May 2023,L353630,S137468761,,1
276,28324,species,Swainson's Thrush,Catharus ustulatus,1,Scioto Audubon Metro Park--Lower Scioto Park,US-OH,13 May 2023,L353630,S137468761,,1
277,34079,species,Magnolia Warbler,Setophaga magnolia,,Home,US-OH,11 May 2023,L22940035,S137125668,,1
278,485,species,Blue-winged Teal,Spatula discors,4,Scioto Audubon Metro Park--Whittier,US-OH,09 May 2023,L450283,S136843858,,1
279,33770,species,Baltimore Oriole,Icterus galbula,1,Scioto Audubon Metro Park--Lower Scioto Park,US-OH,07 May 2023,L353630,S136498173,,1
280,19245,species,Eastern Warbling Vireo,Vireo gilvus,1,Scioto Audubon Metro Park--Lower Scioto Park,US-OH,07 May 2023,L353630,S136498173,,1
281,6126,species,Spotted Sandpiper,Actitis macularius,1,Scioto Audubon Metro Park--Lower Scioto Park,US-OH,07 May 2023,L353630,S136498173,,1
282,700,species,Lesser Scaup,Aythya affinis,2,Highbanks Metro Park--Wetland Blind,US-OH,06 May 2023,L3985745,S136390894,,1
283,455,species,Wood Duck,Aix sponsa,2,Highbanks Metro Park--Wetland Blind,US-OH,06 May 2023,L3985745,S136390894,,1
284,26889,species,White-breasted Nuthatch,Sitta carolinensis,,Highbanks Metro Park,US-OH,06 May 2023,L164582,S136353352,,1
285,3896,species,Chimney Swift,Chaetura pelagica,,Whetstone Park,US-OH,04 May 2023,L305639,S136104873,,1
286,34148,species,Palm Warbler,Setophaga palmarum,1,Highbanks Metro Park,US-OH,03 May 2023,L164582,S136000014,,1
287,6129,species,Solitary Sandpiper,Tringa solitaria,1,Kiwanis Riverway Park,US-OH,30 Apr 2023,L323166,S135628680,,1
288,27348,species,Carolina Wren,Thryothorus ludovicianus,1,"5201 North Austin Drive, Muncie, Indiana, US (40.238, -85.432)",US-IN,29 Apr 2023,L23915020,S135446601,,1
289,26937,species,Red-breasted Nuthatch,Sitta canadensis,,Home,US-OH,25 Apr 2023,L22940035,S134973474,,1
290,32990,species,Chipping Sparrow,Spizella passerina,1,Schiller Park,US-OH,22 Apr 2023,L3838565,S134629275,,1
291,24081,species,Purple Martin,Progne subis,3,Pickerington Ponds (Franklin Co.),US-OH,20 Apr 2023,L214134,S134407254,,1
292,24064,species,Tree Swallow,Tachycineta bicolor,1,Pickerington Ponds (Franklin Co.),US-OH,20 Apr 2023,L214134,S134407254,,1
293,6154,species,Greater Yellowlegs,Tringa melanoleuca,1,Pickerington Ponds (Franklin Co.),US-OH,20 Apr 2023,L214134,S134407254,,1
294,5827,species,Killdeer,Charadrius vociferus,1,Pickerington Ponds (Franklin Co.),US-OH,20 Apr 2023,L214134,S134407254,,1
295,5697,species,Sandhill Crane,Antigone canadensis,1,Pickerington Ponds (Franklin Co.),US-OH,20 Apr 2023,L214134,S134407254,,1
296,673,species,Ring-necked Duck,Aythya collaris,,Pickerington Ponds (Franklin Co.),US-OH,20 Apr 2023,L214134,S134407254,,1
297,26844,species,Ruby-crowned Kinglet,Corthylio calendula,,Home,US-OH,20 Apr 2023,L22940035,S134354219,,1
298,33277,species,Song Sparrow,Melospiza melodia,1,Quarry Trails Metro Park--Millkin Falls,US-OH,16 Apr 2023,L17008008,S133981173,,1
299,7832,species,Osprey,Pandion haliaetus,2,Quarry Trails Metro Park--Millkin Falls,US-OH,16 Apr 2023,L17008008,S133981173,,1
300,7815,species,Turkey Vulture,Cathartes aura,4,Quarry Trails Metro Park--Millkin Falls,US-OH,16 Apr 2023,L17008008,S133981173,,1
301,7424,species,Double-crested Cormorant,Nannopterum auritum,4,Quarry Trails Metro Park--Millkin Falls,US-OH,16 Apr 2023,L17008008,S133981173,,1
302,377,species,Mute Swan,Cygnus olor,2,Quarry Trails Metro Park--Millkin Falls,US-OH,16 Apr 2023,L17008008,S133981173,N,1
303,24106,species,Northern Rough-winged Swallow,Stelgidopteryx serripennis,1,Scioto River Dublin Rd. Parking,US-OH,16 Apr 2023,L13883474,S133967407,,1
304,8367,species,Bald Eagle,Haliaeetus leucocephalus,1,Scioto River Dublin Rd. Parking,US-OH,16 Apr 2023,L13883474,S133967407,,1
305,33833,species,Brown-headed Cowbird,Molothrus ater,,Scioto Audubon park,US-OH,15 Apr 2023,L23618324,S133876351,,1
306,33415,species,Eastern Towhee,Pipilo erythrophthalmus,1,Scioto Audubon Metro Park--Wetland Trails,US-OH,14 Apr 2023,L17013426,S133764616,,1
307,27123,species,Blue-gray Gnatcatcher,Polioptila caerulea,2,Scioto Audubon Metro Park--Wetland Trails,US-OH,14 Apr 2023,L17013426,S133764616,,1
308,11400,species,Downy Woodpecker,Dryobates pubescens,1,Scioto Audubon Metro Park--Wetland Trails,US-OH,14 Apr 2023,L17013426,S133764616,,1
309,7729,species,Great Egret,Ardea alba,9,Scioto Audubon Metro Park--Wetland Trails,US-OH,14 Apr 2023,L17013426,S133764616,,1
310,32617,species,American Goldfinch,Spinus tristis,1,Home,US-OH,11 Apr 2023,L22940035,S133472347,,1
311,31534,species,House Sparrow,Passer domesticus,1,Home,US-OH,11 Apr 2023,L22940035,S133472347,N,1
312,11762,species,Pileated Woodpecker,Dryocopus pileatus,1,Jeffrey Park,US-OH,09 Apr 2023,L624682,S133244329,,1
313,10306,species,Belted Kingfisher,Megaceryle alcyon,1,Jeffrey Park,US-OH,09 Apr 2023,L624682,S133244329,,1
314,8506,species,Red-tailed Hawk,Buteo jamaicensis,1,Jeffrey Park,US-OH,09 Apr 2023,L624682,S133244329,,1
315,27813,species,European Starling,Sturnus vulgaris,,Home,US-OH,09 Apr 2023,L22940035,S133236558,N,1
316,5500,species,American Coot,Fulica americana,,Schiller Park,US-OH,09 Apr 2023,L23489901,S133204937,,1
317,34515,species,Northern Cardinal,Cardinalis cardinalis,2,Blendon Woods,US-OH,08 Apr 2023,L23468827,S133117574,,1
318,33779,species,Red-winged Blackbird,Agelaius phoeniceus,1,Blendon Woods,US-OH,08 Apr 2023,L23468827,S133117574,,1
319,33201,species,White-throated Sparrow,Zonotrichia albicollis,2,Blendon Woods,US-OH,08 Apr 2023,L23468827,S133117574,,1
320,28633,species,American Robin,Turdus migratorius,3,Blendon Woods,US-OH,08 Apr 2023,L23468827,S133117574,,1
321,22160,species,Tufted Titmouse,Baeolophus bicolor,1,Blendon Woods,US-OH,08 Apr 2023,L23468827,S133117574,,1
322,22060,species,Carolina Chickadee,Poecile carolinensis,3,Blendon Woods,US-OH,08 Apr 2023,L23468827,S133117574,,1
323,21557,species,American Crow,Corvus brachyrhynchos,1,Blendon Woods,US-OH,08 Apr 2023,L23468827,S133117574,,1
324,21294,species,Blue Jay,Cyanocitta cristata,1,Blendon Woods,US-OH,08 Apr 2023,L23468827,S133117574,,1
325,11199,species,Red-bellied Woodpecker,Melanerpes carolinus,1,Blendon Woods,US-OH,08 Apr 2023,L23468827,S133117574,,1
326,1274,species,Wild Turkey,Meleagris gallopavo,2,Blendon Woods,US-OH,08 Apr 2023,L23468827,S133117574,,1
327,545,species,Mallard,Anas platyrhynchos,3,Blendon Woods,US-OH,08 Apr 2023,L23468827,S133117574,,1
328,342,species,Canada Goose,Branta canadensis,2,Blendon Woods,US-OH,08 Apr 2023,L23468827,S133117574,,1
329,11900,species,Northern Flicker,Colaptes auratus,,Home,US-OH,03 Apr 2023,L22940035,S132580268,,1
330,28126,species,Eastern Bluebird,Sialia sialis,,Inniswood Gardens Metro Park,US-OH,26 Mar 2023,L23237738,S131897025,,1
331,2412,species,Mourning Dove,Zenaida macroura,,Home,US-OH,06 Mar 2023,L22940035,S130330993,,1
332,7753,species,Great Blue Heron,Ardea herodias,,CREW Rookery,US-FL,26 Feb 2023,L22834643,S129757373,,1
13,33959,hybrid,Brewster's Warbler (hybrid),Vermivora chrysoptera x cyanoptera (F1 hybrid),1,Thaddeus Kosciuszko Park,US-OH,15 Apr 2026,L2403986,S322267569,,0
26,708,slash,Greater/Lesser Scaup,Aythya marila/affinis,2,"Wendy Park, Whiskey Island",US-OH,17 Jan 2026,L284586,S294815165,,0
27,21620,spuh,crow sp.,Corvus sp. (crow sp.),2,Cleveland Lakefront Nature Preserve,US-OH,17 Jan 2026,L618902,S294704364,,0
29,8304,spuh,Accipitrine hawk sp. (former Accipiter sp.),Aerospiza/Tachyspiza/Accipiter/Astur sp.,3,Rocky Fork Metro Park--Beech Woodland and Millstone Trails,US-OH,03 Jan 2026,L7566351,S292163935,,0
175,6619,spuh,gull sp.,Larinae sp.,3,Howard Marsh Metropark,US-OH,17 May 2024,L4971040,S175144312,,0
228,19306,spuh,vireo sp.,Vireo sp.,1,Alum Creek SP--Park Office Trails,US-OH,12 Aug 2023,L2788349,S147093480,,0
236,24305,spuh,swallow sp.,Hirundinidae sp.,1,Chase Retention Ponds,US-OH,08 Jul 2023,L2040538,S143917286,,0
